n,sim,k_obs,k,mu,N,k_true_name
1,1,0.04047396108026042,0.1,2,25,True k = 0.1
1,2,0.10261188460856802,0.1,2,25,True k = 0.1
1,3,0.15683402514891068,0.1,2,25,True k = 0.1
1,4,0.22083431823869165,0.1,2,25,True k = 0.1
1,5,0.1225688984810141,0.1,2,25,True k = 0.1
1,6,0.07881037377907098,0.1,2,25,True k = 0.1
1,7,0.16887779916966097,0.1,2,25,True k = 0.1
1,8,0.08918749940939272,0.1,2,25,True k = 0.1
1,9,0.0645333149713753,0.1,2,25,True k = 0.1
1,10,0.1052130012427743,0.1,2,25,True k = 0.1
1,11,0.10274734336206856,0.1,2,25,True k = 0.1
1,12,0.08413682877694378,0.1,2,25,True k = 0.1
1,13,0.06257988096242459,0.1,2,25,True k = 0.1
1,14,0.1980697201447043,0.1,2,25,True k = 0.1
1,15,0.09072517442178538,0.1,2,25,True k = 0.1
1,16,0.04323899613414687,0.1,2,25,True k = 0.1
1,17,0.09629118285603368,0.1,2,25,True k = 0.1
1,18,0.07522584403640452,0.1,2,25,True k = 0.1
1,19,0.11713844601877803,0.1,2,25,True k = 0.1
1,20,0.08580944752999066,0.1,2,25,True k = 0.1
1,21,0.15969855365318003,0.1,2,25,True k = 0.1
1,22,0.19139986399743847,0.1,2,25,True k = 0.1
1,23,0.07195397527718493,0.1,2,25,True k = 0.1
1,24,0.08243951726128801,0.1,2,25,True k = 0.1
1,25,0.09492712904944736,0.1,2,25,True k = 0.1
1,26,0.13476156189459904,0.1,2,25,True k = 0.1
1,27,0.1028334953544749,0.1,2,25,True k = 0.1
1,28,0.10241744300315352,0.1,2,25,True k = 0.1
1,29,0.12650690606532133,0.1,2,25,True k = 0.1
1,30,0.22848015943531458,0.1,2,25,True k = 0.1
1,31,0.15742240950469674,0.1,2,25,True k = 0.1
1,32,0.21738277350322055,0.1,2,25,True k = 0.1
1,33,0.11974858503476721,0.1,2,25,True k = 0.1
1,34,0.2590450686927454,0.1,2,25,True k = 0.1
1,35,0.15713194166441766,0.1,2,25,True k = 0.1
1,36,0.027280087686596333,0.1,2,25,True k = 0.1
1,37,0.04712655975551371,0.1,2,25,True k = 0.1
1,38,0.0711405206172788,0.1,2,25,True k = 0.1
1,39,0.06328352271274706,0.1,2,25,True k = 0.1
1,40,0.03592503882353347,0.1,2,25,True k = 0.1
1,41,0.323999680199744,0.1,2,25,True k = 0.1
1,42,0.07196643644887607,0.1,2,25,True k = 0.1
1,43,0.1670483512521624,0.1,2,25,True k = 0.1
1,44,0.0506392855062669,0.1,2,25,True k = 0.1
1,45,0.04463191415393336,0.1,2,25,True k = 0.1
1,46,0.07492620231173266,0.1,2,25,True k = 0.1
1,47,0.06360911627220725,0.1,2,25,True k = 0.1
1,48,0.15510370065176168,0.1,2,25,True k = 0.1
1,49,0.18731965457653094,0.1,2,25,True k = 0.1
1,50,0.07819139483189022,0.1,2,25,True k = 0.1
1,51,0.06525063096469517,0.1,2,25,True k = 0.1
1,52,0.08506188284564016,0.1,2,25,True k = 0.1
1,53,0.13172585696672132,0.1,2,25,True k = 0.1
1,54,0.0663080097747442,0.1,2,25,True k = 0.1
1,55,0.12739428927321444,0.1,2,25,True k = 0.1
1,56,0.09105330748472519,0.1,2,25,True k = 0.1
1,57,0.07184218579801885,0.1,2,25,True k = 0.1
1,58,0.15380236303935843,0.1,2,25,True k = 0.1
1,59,0.22599923573965222,0.1,2,25,True k = 0.1
1,60,0.18716731217886504,0.1,2,25,True k = 0.1
1,61,0.09801346036013447,0.1,2,25,True k = 0.1
1,62,0.1727810943067633,0.1,2,25,True k = 0.1
1,63,0.16064950825364074,0.1,2,25,True k = 0.1
1,64,0.12030487505061957,0.1,2,25,True k = 0.1
1,65,0.13439566786221668,0.1,2,25,True k = 0.1
1,66,0.17240325992418548,0.1,2,25,True k = 0.1
1,67,0.0659556115973335,0.1,2,25,True k = 0.1
1,68,0.031316357958032795,0.1,2,25,True k = 0.1
1,69,0.10967608552688032,0.1,2,25,True k = 0.1
1,70,0.16202293073131177,0.1,2,25,True k = 0.1
1,71,0.0979990421712576,0.1,2,25,True k = 0.1
1,72,0.1527836451258285,0.1,2,25,True k = 0.1
1,73,0.21098741373529342,0.1,2,25,True k = 0.1
1,74,0.0765581192212896,0.1,2,25,True k = 0.1
1,75,0.08218980349080343,0.1,2,25,True k = 0.1
1,76,0.09202548042347544,0.1,2,25,True k = 0.1
1,77,0.06784652003477912,0.1,2,25,True k = 0.1
1,78,0.08792822355925392,0.1,2,25,True k = 0.1
1,79,0.1252260701816749,0.1,2,25,True k = 0.1
1,80,0.14061569198678492,0.1,2,25,True k = 0.1
1,81,0.27961300966177055,0.1,2,25,True k = 0.1
1,82,0.0736396005714088,0.1,2,25,True k = 0.1
1,83,0.1060979421041785,0.1,2,25,True k = 0.1
1,84,0.1547669199055097,0.1,2,25,True k = 0.1
1,85,0.062132129580813,0.1,2,25,True k = 0.1
1,86,0.07574901217127573,0.1,2,25,True k = 0.1
1,87,0.15629816418402828,0.1,2,25,True k = 0.1
1,88,0.05071714439598103,0.1,2,25,True k = 0.1
1,89,0.15761406293026883,0.1,2,25,True k = 0.1
1,90,0.06093941946804081,0.1,2,25,True k = 0.1
1,91,0.06311681241294659,0.1,2,25,True k = 0.1
1,92,0.1681451725405407,0.1,2,25,True k = 0.1
1,93,0.11480944282892623,0.1,2,25,True k = 0.1
1,94,0.16423715534907302,0.1,2,25,True k = 0.1
1,95,0.06698479544922942,0.1,2,25,True k = 0.1
1,96,0.3085713886836128,0.1,2,25,True k = 0.1
1,97,0.07793969405387777,0.1,2,25,True k = 0.1
1,98,0.10342567082778964,0.1,2,25,True k = 0.1
1,99,0.09971792239515932,0.1,2,25,True k = 0.1
1,100,0.12578510914793248,0.1,2,25,True k = 0.1
2,1,0.08555271248214832,0.1,2,50,True k = 0.1
2,2,0.12680250412957592,0.1,2,50,True k = 0.1
2,3,0.12801195817170902,0.1,2,50,True k = 0.1
2,4,0.11635379206371539,0.1,2,50,True k = 0.1
2,5,0.12722323007267836,0.1,2,50,True k = 0.1
2,6,0.047098291697618325,0.1,2,50,True k = 0.1
2,7,0.07400465630272043,0.1,2,50,True k = 0.1
2,8,0.10049758192842632,0.1,2,50,True k = 0.1
2,9,0.15459973893880413,0.1,2,50,True k = 0.1
2,10,0.2526624211561031,0.1,2,50,True k = 0.1
2,11,0.07511988667351181,0.1,2,50,True k = 0.1
2,12,0.17428224790852068,0.1,2,50,True k = 0.1
2,13,0.15453322849167608,0.1,2,50,True k = 0.1
2,14,0.1177082340483341,0.1,2,50,True k = 0.1
2,15,0.11686266737359331,0.1,2,50,True k = 0.1
2,16,0.15888167817249307,0.1,2,50,True k = 0.1
2,17,0.07496698710456456,0.1,2,50,True k = 0.1
2,18,0.15989825232817503,0.1,2,50,True k = 0.1
2,19,0.10291234818005023,0.1,2,50,True k = 0.1
2,20,0.11365072094171672,0.1,2,50,True k = 0.1
2,21,0.09509361538988594,0.1,2,50,True k = 0.1
2,22,0.06858864351831057,0.1,2,50,True k = 0.1
2,23,0.08297272446334811,0.1,2,50,True k = 0.1
2,24,0.07525801033190183,0.1,2,50,True k = 0.1
2,25,0.12148010515938538,0.1,2,50,True k = 0.1
2,26,0.12165742471754466,0.1,2,50,True k = 0.1
2,27,0.08995585046169466,0.1,2,50,True k = 0.1
2,28,0.09215784871497378,0.1,2,50,True k = 0.1
2,29,0.09691382863271643,0.1,2,50,True k = 0.1
2,30,0.12258948571178137,0.1,2,50,True k = 0.1
2,31,0.08942408979695798,0.1,2,50,True k = 0.1
2,32,0.11362168488673756,0.1,2,50,True k = 0.1
2,33,0.11925600396166516,0.1,2,50,True k = 0.1
2,34,0.10302440895049408,0.1,2,50,True k = 0.1
2,35,0.15979583516126694,0.1,2,50,True k = 0.1
2,36,0.12472126035976415,0.1,2,50,True k = 0.1
2,37,0.17075477185970603,0.1,2,50,True k = 0.1
2,38,0.11707848960068881,0.1,2,50,True k = 0.1
2,39,0.13518097121122452,0.1,2,50,True k = 0.1
2,40,0.12921722366380056,0.1,2,50,True k = 0.1
2,41,0.06778602846073091,0.1,2,50,True k = 0.1
2,42,0.15498258260574616,0.1,2,50,True k = 0.1
2,43,0.10887588236272973,0.1,2,50,True k = 0.1
2,44,0.17985399929581727,0.1,2,50,True k = 0.1
2,45,0.10009113922653068,0.1,2,50,True k = 0.1
2,46,0.13493735775634524,0.1,2,50,True k = 0.1
2,47,0.07554204390875517,0.1,2,50,True k = 0.1
2,48,0.12298493318773299,0.1,2,50,True k = 0.1
2,49,0.1559839142998676,0.1,2,50,True k = 0.1
2,50,0.08165916534329856,0.1,2,50,True k = 0.1
2,51,0.23743903500761857,0.1,2,50,True k = 0.1
2,52,0.12778105449679034,0.1,2,50,True k = 0.1
2,53,0.09938296605598028,0.1,2,50,True k = 0.1
2,54,0.13858610536940452,0.1,2,50,True k = 0.1
2,55,0.14560120123728723,0.1,2,50,True k = 0.1
2,56,0.06801505272096003,0.1,2,50,True k = 0.1
2,57,0.09282054812896919,0.1,2,50,True k = 0.1
2,58,0.10284134343159448,0.1,2,50,True k = 0.1
2,59,0.05564501921788077,0.1,2,50,True k = 0.1
2,60,0.19610340286569747,0.1,2,50,True k = 0.1
2,61,0.07558870636640962,0.1,2,50,True k = 0.1
2,62,0.06043053653046646,0.1,2,50,True k = 0.1
2,63,0.07301392439999084,0.1,2,50,True k = 0.1
2,64,0.08861305286225543,0.1,2,50,True k = 0.1
2,65,0.07875379831631506,0.1,2,50,True k = 0.1
2,66,0.10802038507412355,0.1,2,50,True k = 0.1
2,67,0.1170828572726347,0.1,2,50,True k = 0.1
2,68,0.1659103373123055,0.1,2,50,True k = 0.1
2,69,0.09402885677715651,0.1,2,50,True k = 0.1
2,70,0.1014980755685171,0.1,2,50,True k = 0.1
2,71,0.0685379711749789,0.1,2,50,True k = 0.1
2,72,0.12813544732394724,0.1,2,50,True k = 0.1
2,73,0.12364951600944449,0.1,2,50,True k = 0.1
2,74,0.17460295283770988,0.1,2,50,True k = 0.1
2,75,0.15260227905526877,0.1,2,50,True k = 0.1
2,76,0.1913549822404896,0.1,2,50,True k = 0.1
2,77,0.10266743094517235,0.1,2,50,True k = 0.1
2,78,0.07342239893526226,0.1,2,50,True k = 0.1
2,79,0.1522162183603333,0.1,2,50,True k = 0.1
2,80,0.13420276459109637,0.1,2,50,True k = 0.1
2,81,0.11044189321002608,0.1,2,50,True k = 0.1
2,82,0.11723503590891618,0.1,2,50,True k = 0.1
2,83,0.14685768709982758,0.1,2,50,True k = 0.1
2,84,0.0858304228876743,0.1,2,50,True k = 0.1
2,85,0.09283186463451014,0.1,2,50,True k = 0.1
2,86,0.11233185857942099,0.1,2,50,True k = 0.1
2,87,0.10818917143768515,0.1,2,50,True k = 0.1
2,88,0.08275226397920746,0.1,2,50,True k = 0.1
2,89,0.12131690433157645,0.1,2,50,True k = 0.1
2,90,0.12165306367222495,0.1,2,50,True k = 0.1
2,91,0.03911924416033803,0.1,2,50,True k = 0.1
2,92,0.060996810089994045,0.1,2,50,True k = 0.1
2,93,0.0838112766828011,0.1,2,50,True k = 0.1
2,94,0.11299326713541061,0.1,2,50,True k = 0.1
2,95,0.18481422534441544,0.1,2,50,True k = 0.1
2,96,0.07103054468099737,0.1,2,50,True k = 0.1
2,97,0.12679516701943055,0.1,2,50,True k = 0.1
2,98,0.14290227374941467,0.1,2,50,True k = 0.1
2,99,0.2953194796119019,0.1,2,50,True k = 0.1
2,100,0.056129857288534146,0.1,2,50,True k = 0.1
3,1,0.12306162154421041,0.1,2,75,True k = 0.1
3,2,0.09319812317329607,0.1,2,75,True k = 0.1
3,3,0.07641260095521213,0.1,2,75,True k = 0.1
3,4,0.10861338439438438,0.1,2,75,True k = 0.1
3,5,0.10452170861977948,0.1,2,75,True k = 0.1
3,6,0.07494988120600721,0.1,2,75,True k = 0.1
3,7,0.08820030915366857,0.1,2,75,True k = 0.1
3,8,0.12572778400828133,0.1,2,75,True k = 0.1
3,9,0.09970776906258155,0.1,2,75,True k = 0.1
3,10,0.11234821550417935,0.1,2,75,True k = 0.1
3,11,0.066382002099732,0.1,2,75,True k = 0.1
3,12,0.09933211985687614,0.1,2,75,True k = 0.1
3,13,0.09255695319706976,0.1,2,75,True k = 0.1
3,14,0.15191104306597514,0.1,2,75,True k = 0.1
3,15,0.099878374341959,0.1,2,75,True k = 0.1
3,16,0.07565099224090369,0.1,2,75,True k = 0.1
3,17,0.11850163826091688,0.1,2,75,True k = 0.1
3,18,0.10878303447378644,0.1,2,75,True k = 0.1
3,19,0.11088517037249239,0.1,2,75,True k = 0.1
3,20,0.08436136628631583,0.1,2,75,True k = 0.1
3,21,0.07746671281057693,0.1,2,75,True k = 0.1
3,22,0.13298224375907405,0.1,2,75,True k = 0.1
3,23,0.05248280473097522,0.1,2,75,True k = 0.1
3,24,0.1064173488991019,0.1,2,75,True k = 0.1
3,25,0.128269440965702,0.1,2,75,True k = 0.1
3,26,0.10715767782185738,0.1,2,75,True k = 0.1
3,27,0.0824947880716126,0.1,2,75,True k = 0.1
3,28,0.08789388845668396,0.1,2,75,True k = 0.1
3,29,0.14826456321705148,0.1,2,75,True k = 0.1
3,30,0.10547719705642764,0.1,2,75,True k = 0.1
3,31,0.12037053470176647,0.1,2,75,True k = 0.1
3,32,0.07422441486121974,0.1,2,75,True k = 0.1
3,33,0.0869712572900031,0.1,2,75,True k = 0.1
3,34,0.09705191087598711,0.1,2,75,True k = 0.1
3,35,0.14043963730191797,0.1,2,75,True k = 0.1
3,36,0.05464002759454214,0.1,2,75,True k = 0.1
3,37,0.07166618740292913,0.1,2,75,True k = 0.1
3,38,0.09055585450384769,0.1,2,75,True k = 0.1
3,39,0.10646141037731097,0.1,2,75,True k = 0.1
3,40,0.1325146797141674,0.1,2,75,True k = 0.1
3,41,0.1664493205995148,0.1,2,75,True k = 0.1
3,42,0.0673153930542856,0.1,2,75,True k = 0.1
3,43,0.08608053880389657,0.1,2,75,True k = 0.1
3,44,0.10285321697365832,0.1,2,75,True k = 0.1
3,45,0.1384468058724721,0.1,2,75,True k = 0.1
3,46,0.07776047097370054,0.1,2,75,True k = 0.1
3,47,0.09556696459048043,0.1,2,75,True k = 0.1
3,48,0.11290729777011659,0.1,2,75,True k = 0.1
3,49,0.11342367342123862,0.1,2,75,True k = 0.1
3,50,0.09903703248115354,0.1,2,75,True k = 0.1
3,51,0.14684485721271656,0.1,2,75,True k = 0.1
3,52,0.0788213378698335,0.1,2,75,True k = 0.1
3,53,0.1211214482625335,0.1,2,75,True k = 0.1
3,54,0.08910445254070169,0.1,2,75,True k = 0.1
3,55,0.07860532065257565,0.1,2,75,True k = 0.1
3,56,0.11949844834204658,0.1,2,75,True k = 0.1
3,57,0.12893930674721185,0.1,2,75,True k = 0.1
3,58,0.12459093567333376,0.1,2,75,True k = 0.1
3,59,0.08416597931520522,0.1,2,75,True k = 0.1
3,60,0.12474606274002902,0.1,2,75,True k = 0.1
3,61,0.1523943583789495,0.1,2,75,True k = 0.1
3,62,0.13669382149033718,0.1,2,75,True k = 0.1
3,63,0.11467760809645342,0.1,2,75,True k = 0.1
3,64,0.08878618490434621,0.1,2,75,True k = 0.1
3,65,0.0814641588618192,0.1,2,75,True k = 0.1
3,66,0.07741028281426066,0.1,2,75,True k = 0.1
3,67,0.100368778440117,0.1,2,75,True k = 0.1
3,68,0.06290326821974283,0.1,2,75,True k = 0.1
3,69,0.10795095887014859,0.1,2,75,True k = 0.1
3,70,0.09114355192408768,0.1,2,75,True k = 0.1
3,71,0.10545071530596184,0.1,2,75,True k = 0.1
3,72,0.06199478182885295,0.1,2,75,True k = 0.1
3,73,0.068009134065371707,0.1,2,75,True k = 0.1
3,74,0.06617533954193185,0.1,2,75,True k = 0.1
3,75,0.09040797253102946,0.1,2,75,True k = 0.1
3,76,0.08134340884979714,0.1,2,75,True k = 0.1
3,77,0.12200022544356859,0.1,2,75,True k = 0.1
3,78,0.08432479149613906,0.1,2,75,True k = 0.1
3,79,0.14955165930775982,0.1,2,75,True k = 0.1
3,80,0.13592900743239741,0.1,2,75,True k = 0.1
3,81,0.12271292337098791,0.1,2,75,True k = 0.1
3,82,0.0926613073465594,0.1,2,75,True k = 0.1
3,83,0.16171498513147892,0.1,2,75,True k = 0.1
3,84,0.09214569498070155,0.1,2,75,True k = 0.1
3,85,0.0715708137706259,0.1,2,75,True k = 0.1
3,86,0.09050739570506745,0.1,2,75,True k = 0.1
3,87,0.12422093732131742,0.1,2,75,True k = 0.1
3,88,0.08974867736795292,0.1,2,75,True k = 0.1
3,89,0.13340498771435835,0.1,2,75,True k = 0.1
3,90,0.19083937900902673,0.1,2,75,True k = 0.1
3,91,0.09530621861456962,0.1,2,75,True k = 0.1
3,92,0.1206370231507308,0.1,2,75,True k = 0.1
3,93,0.068890276436861,0.1,2,75,True k = 0.1
3,94,0.07806120059430917,0.1,2,75,True k = 0.1
3,95,0.18825407657466647,0.1,2,75,True k = 0.1
3,96,0.09712181347033257,0.1,2,75,True k = 0.1
3,97,0.0824829240939282,0.1,2,75,True k = 0.1
3,98,0.12815575637848517,0.1,2,75,True k = 0.1
3,99,0.17079269568369518,0.1,2,75,True k = 0.1
3,100,0.12858391806228575,0.1,2,75,True k = 0.1
4,1,0.11880341881960471,0.1,2,100,True k = 0.1
4,2,0.18403830043917047,0.1,2,100,True k = 0.1
4,3,0.08588949945711885,0.1,2,100,True k = 0.1
4,4,0.11203908184953212,0.1,2,100,True k = 0.1
4,5,0.11040938320950086,0.1,2,100,True k = 0.1
4,6,0.12826823136267768,0.1,2,100,True k = 0.1
4,7,0.1248943649992542,0.1,2,100,True k = 0.1
4,8,0.09142279606022166,0.1,2,100,True k = 0.1
4,9,0.11477578870655461,0.1,2,100,True k = 0.1
4,10,0.1090897347008529,0.1,2,100,True k = 0.1
4,11,0.12772719365498011,0.1,2,100,True k = 0.1
4,12,0.08874570480831631,0.1,2,100,True k = 0.1
4,13,0.08606816067742472,0.1,2,100,True k = 0.1
4,14,0.09420488160131729,0.1,2,100,True k = 0.1
4,15,0.08417615741760393,0.1,2,100,True k = 0.1
4,16,0.08126386609035968,0.1,2,100,True k = 0.1
4,17,0.08309471154841835,0.1,2,100,True k = 0.1
4,18,0.11643479424243486,0.1,2,100,True k = 0.1
4,19,0.15238985649578465,0.1,2,100,True k = 0.1
4,20,0.12019636397029315,0.1,2,100,True k = 0.1
4,21,0.11127219090867212,0.1,2,100,True k = 0.1
4,22,0.1535673648703355,0.1,2,100,True k = 0.1
4,23,0.138795699094606,0.1,2,100,True k = 0.1
4,24,0.08977316768367351,0.1,2,100,True k = 0.1
4,25,0.08135724542071546,0.1,2,100,True k = 0.1
4,26,0.09732147255169663,0.1,2,100,True k = 0.1
4,27,0.14162792839830005,0.1,2,100,True k = 0.1
4,28,0.13902825282676776,0.1,2,100,True k = 0.1
4,29,0.09468675990043833,0.1,2,100,True k = 0.1
4,30,0.10812042029626864,0.1,2,100,True k = 0.1
4,31,0.14700772865465492,0.1,2,100,True k = 0.1
4,32,0.11906206100720515,0.1,2,100,True k = 0.1
4,33,0.10393887207197491,0.1,2,100,True k = 0.1
4,34,0.11518784404001021,0.1,2,100,True k = 0.1
4,35,0.09496179647720064,0.1,2,100,True k = 0.1
4,36,0.07966383472906814,0.1,2,100,True k = 0.1
4,37,0.08155959901128199,0.1,2,100,True k = 0.1
4,38,0.12892487191807064,0.1,2,100,True k = 0.1
4,39,0.16731693357546093,0.1,2,100,True k = 0.1
4,40,0.11495813178604125,0.1,2,100,True k = 0.1
