mu.py,k.py,mean.n_try,var.n_try,p.20,graph.type,prob_epi,graph.var,t.var,graph.var.ratio,t.var.ratio
NA,NA,0,0,NA,Negative Binomial,0,8,250,1,1
NA,NA,0,0,NA,Negative Binomial,0,8,6437,1,25.748
NA,NA,0,0,NA,Negative Binomial,0,8,12625,1,50.5
NA,NA,0,0,NA,Negative Binomial,0,8,18812,1,75.248
NA,NA,0,0,NA,Negative Binomial,0,8,25000,1,100
NA,NA,0,0,NA,Negative Binomial,0,34,250,4.25,1
NA,NA,0,0,NA,Negative Binomial,0,34,6437,4.25,25.748
NA,NA,0,0,NA,Negative Binomial,0,34,12625,4.25,50.5
NA,NA,0,0,NA,Negative Binomial,0,34,18812,4.25,75.248
NA,NA,0,0,NA,Negative Binomial,0,34,25000,4.25,100
NA,NA,0,0,NA,Negative Binomial,0,60,250,7.5,1
NA,NA,0,0,NA,Negative Binomial,0,60,6437,7.5,25.748
NA,NA,0,0,NA,Negative Binomial,0,60,12625,7.5,50.5
NA,NA,0,0,NA,Negative Binomial,0,60,18812,7.5,75.248
NA,NA,0,0,NA,Negative Binomial,0,60,25000,7.5,100
NA,NA,0,0,NA,Negative Binomial,0,87,250,10.875,1
NA,NA,0,0,NA,Negative Binomial,0,87,6437,10.875,25.748
NA,NA,0,0,NA,Negative Binomial,0,87,12625,10.875,50.5
NA,NA,0,0,NA,Negative Binomial,0,87,18812,10.875,75.248
NA,NA,0,0,NA,Negative Binomial,0,87,25000,10.875,100
NA,NA,0,0,NA,Negative Binomial,0,113,250,14.125,1
NA,NA,0,0,NA,Negative Binomial,0,113,6437,14.125,25.748
NA,NA,0,0,NA,Negative Binomial,0,113,12625,14.125,50.5
NA,NA,0,0,NA,Negative Binomial,0,113,18812,14.125,75.248
NA,NA,0,0,NA,Negative Binomial,0,113,25000,14.125,100
1.9820717131474104,4.435426581157635,14.709,204.69701601601602,0.47185929648241204,Negative Binomial,0.014,140,250,17.5,1
2.027018333869411,3.3528808571314284,15.659,251.5762952952953,0.48476674071723264,Negative Binomial,0.011,140,6437,17.5,25.748
2.1221804511278197,2.491771485540653,17.557,286.7955465465465,0.5057573073516386,Negative Binomial,0.012,140,12625,17.5,50.5
NA,NA,0,0,NA,Negative Binomial,0.008,140,18812,17.5,75.248
2.1734328358208956,1.7616067370609145,20.375,432.1325075075075,0.5389369592088998,Negative Binomial,0.013,140,25000,17.5,100
2.00414673046252,3.898822199633089,10.752,118.51100700700701,0.4792296673563584,Negative Binomial,0.054,166,250,20.75,1
2.0802966784908095,2.8390978305722148,10.802,107.57837437437438,0.5000775073631996,Negative Binomial,0.048,166,6437,20.75,25.748
2.116555082166768,2.534186171078651,12.127,160.0449159159159,0.5033788641265277,Negative Binomial,0.037,166,12625,20.75,50.5
2.218226906385617,1.9397552671014473,12.561,149.07535435435435,0.5317216321967579,Negative Binomial,0.048,166,18812,20.75,75.248
2.2824182242990654,1.7404729556195522,13.92,185.23083083083083,0.5378119001919386,Negative Binomial,0.044,166,25000,20.75,100
2.139083386378103,2.815491752135829,8.965,70.26403903903903,0.49784258294896594,Negative Binomial,0.107,192,250,24,1
2.258294573643411,2.4562414806961326,9.582,84.11539139139138,0.5033639983523274,Negative Binomial,0.101,192,6437,24,25.748
2.2350942230460302,2.1249461424713596,9.718,84.10858458458459,0.5192812715964064,Negative Binomial,0.083,192,12625,24,50.5
2.303759398496241,1.8559533396089716,10.325,88.70207707707708,0.5305483028720627,Negative Binomial,0.097,192,18812,24,75.248
2.3800461361014995,1.5840603565359086,11.64,128.05045045045046,0.5439786770050884,Negative Binomial,0.065,192,25000,24,100
2.22496,2.7601078337227025,7.937,58.51154254254254,0.4951819358550266,Negative Binomial,0.108,219,250,27.375,1
2.3118148599269186,1.9735808160181356,8.774,66.9799039039039,0.523840885142255,Negative Binomial,0.128,219,6437,27.375,25.748
2.363230035756853,1.8071575805750704,9.092,75.29483083083083,0.5288109948304123,Negative Binomial,0.115,219,12625,27.375,50.5
2.4753215674543823,1.689267180540615,9.476,85.25868268268269,0.5319637462235649,Negative Binomial,0.09,219,18812,27.375,75.248
2.497548312662244,1.3262113953965096,10.215,92.61539039039039,0.56115024829657,Negative Binomial,0.1,219,25000,27.375,100
2.3250398724082935,2.705328271181856,7.765,48.33811311311311,0.4943064892303471,Negative Binomial,0.145,245,250,30.625,1
2.4101610904584883,2.1471624006553114,8.164,57.53864264264264,0.5134961439588689,Negative Binomial,0.129,245,6437,30.625,25.748
2.453082295778925,1.8528182415389953,8.517,68.82453553553553,0.526491705867789,Negative Binomial,0.12,245,12625,30.625,50.5
2.4629213483146066,1.4704007513446034,8.589,62.252331331331334,0.5541742700729927,Negative Binomial,0.092,245,18812,30.625,75.248
2.5559701492537314,1.4201375904058475,9.425,77.29767267267268,0.5514879281302639,Negative Binomial,0.112,245,25000,30.625,100
2.5176695319961797,2.1266963630303515,7.077,43.49856956956957,0.5102427921092565,Negative Binomial,0.134,272,250,34,1
2.502234993614304,1.855570255988012,7.743,54.57953053053053,0.5331121602654076,Negative Binomial,0.123,272,6437,34,25.748
2.5664774424858083,1.727799067802845,7.936,54.10601001001001,0.5308498253783469,Negative Binomial,0.125,272,12625,34,50.5
2.5167420814479637,1.6160404029173299,8.613,54.50974074074074,0.5399736305885173,Negative Binomial,0.108,272,18812,34,75.248
2.6488636363636364,1.3173709043462025,8.668,64.03380980980981,0.5582368082368082,Negative Binomial,0.113,272,25000,34,100
2.4969045291625935,2.2594460335396116,7.663,55.51694794794795,0.5095915437818087,Negative Binomial,0.133,298,250,37.25,1
2.5798467884502063,1.8226923293750383,7.723,50.25452552552552,0.522384650525354,Negative Binomial,0.118,298,6437,37.25,25.748
2.674458380843786,1.4597830853821554,8.214,57.5017057057057,0.5445534001279045,Negative Binomial,0.113,298,12625,37.25,50.5
2.6303400174367915,1.4130802222602294,8.707,62.850001001001004,0.5469008949287372,Negative Binomial,0.111,298,18812,37.25,75.248
2.8002296211251436,1.223550982108935,9.513,78.53436536536536,0.5713407134071341,Negative Binomial,0.107,298,25000,37.25,100
2.6422535211267606,1.95786164399012,7.035,40.1218968968969,0.5170575692963753,Negative Binomial,0.136,324,250,40.5,1
2.6365456105233056,1.5580978368670597,7.381,46.63447347347348,0.5401301518438177,Negative Binomial,0.131,324,6437,40.5,25.748
2.759886201991465,1.3553824275689452,7.681,55.61685585585585,0.555922069889702,Negative Binomial,0.131,324,12625,40.5,50.5
2.8342744212309428,1.291589327832346,8.553,56.86805905905906,0.5571272039047714,Negative Binomial,0.138,324,18812,40.5,75.248
2.8368074602303897,1.1570276654776392,8.498,62.85284884884885,0.5772019723484483,Negative Binomial,0.134,324,25000,40.5,100
2.8529411764705883,1.576593151371832,7.113,44.362593593593594,0.5403955396591626,Negative Binomial,0.127,351,250,43.875,1
2.9809929078014186,1.413384147954807,7.104,43.74292692692693,0.5450133231823373,Negative Binomial,0.103,351,6437,43.875,25.748
2.924021040327294,1.3462104880153245,7.775,49.630005005005,0.5594643214071557,Negative Binomial,0.13,351,12625,43.875,50.5
2.9966740576496673,1.0711471624531932,8.19,59.87377377377378,0.5908250092489826,Negative Binomial,0.132,351,18812,43.875,75.248
3.0926474548882306,1.0983966207746434,8.341,64.9897087087087,0.5862579465296526,Negative Binomial,0.108,351,25000,43.875,100
2.9531823745410035,1.6537719096507673,6.748,40.06856456456457,0.5316547508030256,Negative Binomial,0.141,377,250,47.125,1
