mu.R,mu.py,k.R,k.py,mean.n_try,var.n_try,p.20,graph.type,prob_epi,n,graph.var,corr.var,b.var,t.var.ratio,mean.var.ratio
NA,2.4365203761755487,NA,2.3270837608391512,1.6733333333333333,1.027478454267445,0.47708266323576715,Negative Binomial,0.582,1,8,0,3,0.15044462,1
NA,3.49527665317139,NA,1.605634121719096,1.6633333333333333,1.090897970530998,0.49493243243243246,Negative Binomial,0.639,2,8,1,3,0.15044462,1
NA,2.0648464163822524,NA,2.8033669622198856,3.34,8.818415346121768,0.48760330578512395,Negative Binomial,0.33,3,8,0,5,0.11912856,1
NA,2.784627702161729,NA,2.0333328424828125,2.2533333333333334,2.8315151515151515,0.4889304197814836,Negative Binomial,0.457,4,8,1,5,0.11912856,1
NA,1.9085923217550274,NA,3.0756881288065068,25.996666666666666,821.5012399221573,0.4840756704980843,Negative Binomial,0.024,5,8,0,7,0.0975731,1
NA,2.3694581280788176,NA,2.097631603966478,3.18,8.287839866555462,0.5011261261261262,Negative Binomial,0.318,6,8,1,7,0.0975731,1
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,7,8,0,9,0.08201116,1
NA,2.273497036409822,NA,1.9264768860649866,4.1066666666666665,13.533233249930497,0.509683426443203,Negative Binomial,0.219,8,8,1,9,0.08201116,1
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,9,8,0,11,0.07032651,1
NA,2.096539162112933,NA,2.18574869976693,7.046666666666667,41.59248262440923,0.5073848827106864,Negative Binomial,0.142,10,8,1,11,0.07032651,1
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,11,8,0,13,0.06202945,1
NA,2.0703735881841876,NA,2.0921701258946412,16.11,232.23809841534612,0.5065044062106588,Negative Binomial,0.064,12,8,1,13,0.06202945,1
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,13,8,0,15,0.0549127,1
NA,2.0800344234079176,NA,1.9062609805601283,51.29666666666667,2852.152115651932,0.5121017790649566,Negative Binomial,0.004,14,8,1,15,0.0549127,1
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,15,8,0,17,0.04972932,1
NA,2.067694944301628,NA,1.734031882814544,277.79333333333335,73676.20078954684,0.5264193949440531,Negative Binomial,0,16,8,1,17,0.04972932,1
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,17,8,0,19,0.04521718,1
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,18,8,1,19,0.04521718,1
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,19,8,0,21,0.0414949,1
NA,NA,NA,NA,0,0,NA,Negative Binomial,0,20,8,1,21,0.0414949,1
